sku,product_name,voltage,insulation,core_count,cross_section_mm2,armor,standard,conductor_material,base_price
CAB_0181,1-core 4.0mm² EPR Insulated Copper Armored Cable (Aluminum),0.6/0.9kV,EPR,1,4.0,Copper,IEC 60502,Aluminum,78.22
CAB_0182,3-core 16.0mm² EPR Insulated Copper Armored Cable (Copper),6.6kV,EPR,3,16.0,Copper,BS 5467,Copper,562.03
CAB_0183,4-core 4.0mm² EPR Insulated Aluminum Armored Cable (Copper),0.6/0.9kV,EPR,4,4.0,Aluminum,IS 7098,Copper,247.25
CAB_0184,1-core 10.0mm² EPR Insulated Steel Armored Cable (Copper),1.1/2kV,EPR,1,10.0,Steel,BS 5467,Copper,116.28
CAB_0185,7-core 6.0mm² PVC Insulated Aluminum Armored Cable (Copper),1.1/2kV,PVC,7,6.0,Aluminum,IEC 60502,Copper,406.39
CAB_0186,2-core 16.0mm² XLPE Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,XLPE,2,16.0,Aluminum,IEEE 1202,Aluminum,286.8
CAB_0187,7-core 4.0mm² EPR Insulated None Armored Cable (Copper),0.6/0.9kV,EPR,7,4.0,None,BS 5467,Copper,51.27
CAB_0188,1-core 2.5mm² PVC Insulated Aluminum Armored Cable (Copper),0.6/1kV,PVC,1,2.5,Aluminum,IEC 60502,Copper,71.61
CAB_0189,5-core 2.5mm² XLPE Insulated Aluminum Armored Cable (Aluminum),3.3kV,XLPE,5,2.5,Aluminum,IEC 60502,Aluminum,119.28
CAB_0190,1-core 4.0mm² PVC Insulated Aluminum Armored Cable (Copper),1.1/2kV,PVC,1,4.0,Aluminum,IS 7098,Copper,145.01
CAB_0191,2-core 6.0mm² PVC Insulated Aluminum Armored Cable (Aluminum),0.6/1kV,PVC,2,6.0,Aluminum,IS 7098,Aluminum,139.89
CAB_0192,1-core 4.0mm² PVC Insulated Aluminum Armored Cable (Copper),6.6kV,PVC,1,4.0,Aluminum,IS 1554,Copper,58.89
CAB_0193,7-core 16.0mm² EPR Insulated None Armored Cable (Copper),3.3kV,EPR,7,16.0,None,IS 7098,Copper,300.5
CAB_0194,1-core 16.0mm² XLPE Insulated Aluminum Armored Cable (Copper),6.6kV,XLPE,1,16.0,Aluminum,IEC 60502,Copper,727.44
CAB_0195,7-core 2.5mm² EPR Insulated Copper Armored Cable (Copper),0.6/0.9kV,EPR,7,2.5,Copper,BS 5467,Copper,115.5
CAB_0196,5-core 4.0mm² EPR Insulated Steel Armored Cable (Copper),6.6kV,EPR,5,4.0,Steel,IEEE 1202,Copper,36.11
CAB_0197,1-core 1.5mm² PVC Insulated None Armored Cable (Aluminum),1.1/2kV,PVC,1,1.5,None,IEC 60502,Aluminum,33.65
CAB_0198,5-core 2.5mm² XLPE Insulated None Armored Cable (Aluminum),1.1/2kV,XLPE,5,2.5,None,IEC 60502,Aluminum,86.03
CAB_0199,7-core 0.5mm² XLPE Insulated Steel Armored Cable (Aluminum),0.6/0.9kV,XLPE,7,0.5,Steel,IEEE 1202,Aluminum,18.05
CAB_0200,4-core 0.5mm² PVC Insulated Copper Armored Cable (Aluminum),1.1/2kV,PVC,4,0.5,Copper,IS 7098,Aluminum,11.35
